,자동차검사소유형,위치,검사기술인력수,위도,경도,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부
203,민간,인천광역시,0,37.58253895,126.6590242,N,Y,N,Y,N,Y,N
204,민간,충청북도,3,36.97745528,128.3448483,N,Y,N,N,N,Y,Y
205,민간,경기도,0,37.042086,127.065513,Y,Y,N,Y,N,Y,Y
206,민간,경기도,0,36.990056,126.85843500000001,Y,Y,N,Y,N,Y,Y
207,민간,경기도,0,37.024673,127.07987800000001,Y,Y,N,Y,N,Y,Y
208,민간,경기도,0,36.996682,126.928723,Y,Y,N,Y,N,Y,Y
209,민간,경기도,0,37.006468,127.135699,Y,Y,N,Y,N,Y,Y
210,민간,경기도,0,37.009673,126.87284,Y,Y,N,Y,N,Y,Y
211,민간,경기도,0,37.073298,127.05546799999999,Y,Y,N,Y,N,Y,Y
212,민간,경기도,0,36.955358000000004,126.850545,Y,Y,N,Y,N,Y,N
213,민간,경기도,0,37.028881,127.098978,Y,Y,N,Y,N,Y,Y
214,민간,강원특별자치도,1,37.7188766206,128.1798179052,N,Y,N,N,N,N,N
215,민간,강원특별자치도,1,37.611564957199995,127.76902087,N,Y,N,N,N,N,N
216,민간,전라북도,1,35.94302867,126.9996453,N,Y,N,N,N,N,Y
217,민간,전라북도,1,35.92824825,126.94876299999999,N,Y,N,N,N,N,Y
218,민간,전라북도,1,35.92846053,126.94800819999999,N,Y,N,N,N,N,Y
219,민간,전라북도,1,36.06899854,126.9672709,N,Y,N,N,N,N,Y
220,민간,전라북도,1,35.94311165,126.9343311,N,Y,N,N,N,N,Y
221,민간,전라북도,1,35.928531,126.94969240000002,N,Y,N,N,N,N,Y
222,민간,전라북도,1,35.950533,126.97201059999999,N,Y,N,N,N,N,Y
223,민간,전라북도,1,35.95095966,126.9708267,N,Y,N,N,N,N,Y
224,민간,전라북도,1,35.966015000000006,126.9821379,N,Y,N,N,N,N,Y
225,민간,전라남도,1,35.28169278,126.48667879999999,N,Y,N,N,N,N,N
226,민간,강원특별자치도,1,37.357914,127.90045400000001,N,Y,N,N,N,N,N
227,민간,강원특별자치도,1,37.682691667600004,127.8593396843,N,Y,N,N,N,N,Y
228,민간,강원특별자치도,4,37.6828779154,127.8598435796,N,Y,N,N,N,N,Y
229,민간,강원특별자치도,1,37.6937094799,127.9074682958,N,Y,N,N,N,N,Y
230,민간,강원특별자치도,1,37.70235625,127.8825048217,N,Y,N,N,N,N,Y
231,민간,강원특별자치도,1,37.7045767082,127.8792512749,N,Y,N,N,N,N,Y
232,민간,전라북도,1,35.98776703,127.63102140000001,N,Y,N,Y,N,Y,Y
